sku,nombre,categoria,precio,stock,stock_minimo
SKU00050,Teclado TP-Link,Accesorios,513.15,21,50
SKU00051,Touchpad Gigabyte,Accesorios,2201.51,31,20
SKU00052,Audifonos Razer,Audio,NaN,13,10
SKU00053,UPS,Energia,3976.41,3,25,NaN,3,500
SKU00054,Monitor Dell,Electronica,10739.41,1,5
SKU00055,MicroSD HP,Almacenamiento,822.84,15,20
SKU00056,Mouse Gaming BenQ,Accesorios,1970.16,59,50
SKU00057,SSD Lenovo,Almacenamiento,3227.27,90,50
SKU00058,Fuente Poder Asus,Componentes,1577.81,10,10
SKU00059,MicroSD,Almacenamiento,236.95,7,10
SKU00060,MicroSD Asus,Almacenamiento,674.53,11,25
SKU00061,Pantalla Portatil MSI,Electronica,2958.35,5,25
SKU00062,MacBook Sony,Electronica,33596.30,64,50
SKU00063,Audifonos Sony,Audio,383.98,48,25
SKU00064,MicroSD TP-Link,Almacenamiento,274.25,1,15
SKU00065,MicroSD Epson,Almacenamiento,724.27,24,10
SKU00066,HDD Externo Xiaomi,Almacenamiento,2121.50,17,20
SKU00067,Teclado Gaming Asus,Accesorios,3963.16,112,50,,12..5
SKU00068,Procesador HP,Componentes,2354.16,29,50
SKU00069,Microfono Logitech,Audio,2653.81,12,50
SKU00070,MacBook LG,Electronica,37988.89,15,null
SKU00071,Mouse Ergonomico HP,Accesorios,1036.93,6,10
SKU00072,Notebook HP,Electronica,11761.29,9
SKU00073,Monitor Kingston,Electronica,10119.89,53,30
SKU00074,Teclado Gaming SanDisk,Accesorios,???,83,30
SKU00075,Laptop Logitech,Electronica,22545.73,5,10
SKU00076,Notebook Lenovo,Electronica,16631.65,53,20
SKU00077,Mouse Ergonomico Kingston,Accesorios,,53,25
SKU00078,Monitor Canon,Electronica,7217.39,48,25
SKU00079,Microfono Dell,Audio,1310.20,48,50
SKU00080,Chromebook Seagate,Electronica,5805.97,15,25
SKU00081,RAM Razer,Componentes,1493.19,88,30
SKU00082,USB Drive HyperX,Almacenamiento,93.02,12,15
SKU00083,RAM,Componentes,2235.56,111,50
SKU00084,MicroSD HyperX,Almacenamiento,487.73,5,5
SKU00085,Teclado Gaming Apple,Accesorios,1060.69,38,25
SKU00086,Notebook Anker,Electronica,12514.70,null,20
SKU00087,Monitor Epson,Electronica,3949.26,15,25
SKU00088,Pantalla Portatil Samsung,Electronica,3713.55,5,error
SKU00089,Microfono USB Dell,Audio,1739.19,86,50
SKU00090,Mouse Gigabyte,Accesorios,329.40,6,15
SKU00091,Monitor Sony,Electronica,9149.30,9,50
SKU00092,SSD Gigabyte,Almacenamiento,3939.45,13,5
SKU00093,Laptop SanDisk,Electronica,15214.51,14,10
SKU00094,NAS Asus,Almacenamiento,16746.44,77,50
SKU00095,Monitor Gaming Razer,Electronica,21659.67,124,50
SKU00096,MicroSD Anker,Almacenamiento,127.41,5,15
SKU00097,Notebook WD,Electronica,14288.50,28,muchos
SKU00098,Monitor Epson,Electronica,5203.22,13,20
SKU00099,SSD Externo LG,Almacenamiento,1530.98,1,20
SKU00100,Impresora,Impresion,9948.25,8,5
